State,EV_Sale_2017,EV_Sale_2018,2018_2017_YoY_Sale_Percent_Increase,2017_EV_Percent_Marketshare,2018_EV_Percent_Marketshare,2018_2017_YoY_Share_Percent_Increase
California,"94,873","153,442",61.73%,5.02%,7.84%,56.18%
New York,"10,090","15,752",56.11%,1.03%,1.56%,51.46%
Washington,"7,068","12,650",78.98%,2.51%,4.28%,70.52%
Florida,"6,573","13,705",108.50%,0.52%,1.03%,98.08%
Texas,"5,419","11,764",117.09%,0.39%,0.78%,100.00%
New Jersey,"5,033","9,230",83.39%,0.91%,1.59%,74.73%
Massachusetts,"4,632","8,990",94.08%,1.35%,2.53%,87.41%
Colorado,"4,156","7,051",69.66%,1.57%,2.61%,66.24%
Oregon,"3,988","5,976",49.85%,2.36%,3.41%,44.49%
Illinois,"3,812","7,357",93.00%,0.62%,1.20%,93.55%
Pennsylvania,"3,346","6,063",81.20%,0.55%,0.92%,67.27%
Maryland,"3,244","6,299",94.17%,1.05%,1.91%,81.90%
Arizona,"2,976","7,086",138.10%,0.90%,1.84%,104.44%
Virginia,"2,932","6,375",117.43%,0.80%,1.67%,108.75%
Michigan,"2,742","3,571",30.23%,0.45%,0.59%,31.11%
Georgia,"2,427","6,004",147.38%,0.53%,1.18%,122.64%
Connecticut,"2,304","3,415",48.22%,1.39%,2.02%,45.32%
Ohio,"2,091","4,456",113.10%,0.37%,0.74%,100.00%
North Carolina,"2,055","4,712",129.29%,0.49%,1.02%,108.16%
Hawaii,"1,934","2,296",18.72%,2.33%,2.59%,11.16%
Wisconsin,"1,576","1,956",24.11%,0.67%,0.79%,17.91%
Minnesota,"1,398","2,853",104.08%,0.61%,1.14%,86.89%
Utah,"1,163","2,295",97.33%,0.94%,1.60%,70.21%
Missouri,"1,150","2,268",97.22%,0.42%,0.73%,73.81%
Nevada,"1,068","2,325",117.70%,0.79%,1.62%,105.06%
Indiana,933,"2,036",118.22%,0.41%,0.82%,100.00%
Vermont,871,824,-5.40%,2.13%,1.92%,-9.86%
Tennessee,791,"1,994",152.09%,0.33%,0.73%,121.21%
New Hampshire,788,"1,123",42.51%,0.89%,1.16%,30.34%
Oklahoma,691,"2,683",288.28%,0.10%,0.35%,250.00%
South Carolina,562,"1,170",108.19%,0.27%,0.53%,96.30%
Maine,464,799,72.20%,0.80%,1.13%,41.25%
Kansas,452,943,108.63%,0.49%,0.96%,95.92%
Iowa,433,917,111.78%,0.36%,0.70%,94.44%
Rhode Island,433,619,42.96%,0.92%,1.26%,36.96%
Delaware,401,627,56.36%,0.86%,1.27%,47.67%
District of Columbia,398,761,91.21%,1.87%,3.34%,78.61%
Alabama,381,866,127.30%,0.19%,0.41%,115.79%
New Mexico,369,705,91.06%,0.47%,0.81%,72.34%
Kentucky,360,787,118.61%,0.27%,0.53%,96.30%
Louisiana,283,613,116.61%,0.15%,0.28%,86.67%
Nebraska,260,628,141.54%,0.32%,0.73%,128.13%
Idaho,241,497,106.22%,0.41%,0.77%,87.80%
Arkansas,187,435,132.62%,0.16%,0.35%,118.75%
Montana,143,274,91.61%,0.28%,0.47%,67.86%
Mississippi,128,231,80.47%,0.10%,0.22%,120.00%
West Virginia,113,218,92.92%,0.15%,0.27%,80.00%
Alaska,85,155,82.35%,0.37%,0.59%,59.46%
South Dakota,79,135,70.89%,0.22%,0.35%,59.09%
Wyoming,51,92,80.39%,0.25%,0.35%,40.00%
North Dakota,39,95,143.59%,0.12%,0.24%,100.00%
Total,"187,985","328,118",74.54%,1.20%,1.96%,63.33%
Mean,"3,686","6,434",94.78%,0.82%,1.33%,80.24%
Median,933,"2,036",94.08%,0.52%,0.96%,81.90%
